ID,English,Mixed,POS,taggedMixed,taggedPOS
58_1,what's my next turn,nanna next turn yenu,k_pronoun e_adjective e_verb k_adverb,<s> nanna next turn yenu <e>,<s> k_pronoun e_adjective e_verb k_adverb <e>
58_2,what's my next turn,what is my next saradi,e_adverb e_verb e_pronoun e_adjective k_noun,<s> what is my next saradi <e>,<s> e_adverb e_verb e_pronoun e_adjective k_noun <e>
58_3,what's my next turn,what is my mundina saradi,e_adverb e_verb e_pronoun k_adjective k_noun,<s> what is my mundina saradi <e>,<s> e_adverb e_verb e_pronoun k_adjective k_noun <e>
62_1,how is  the traffic ahead,how is the datthane ahead,e_adverb e_verb e_article k_noun e_adverb,<s> how is the datthane ahead <e>,<s> e_adverb e_verb e_article k_noun e_adverb <e>
62_2,how is  the traffic ahead,munde traffic hegidhe,k_adverb e_noun k_adverb,<s> munde traffic hegidhe <e>,<s> k_adverb e_noun k_adverb <e>
62_3,how is  the traffic ahead,how is the datthane munde,e_adverb e_verb e_article k_noun k_adverb,<s> how is the datthane munde <e>,<s> e_adverb e_verb e_article k_noun k_adverb <e>
63_1,what are the nearby gas stations,what are the nearby anila stations,e_adverb e_verb e_article e_adverb k_noun e_noun,<s> what are the nearby anila stations <e>,<s> e_adverb e_verb e_article e_adverb k_noun e_noun <e>
63_2,what are the nearby gas stations,what are the nearby gas kendragalu,e_adverb e_verb e_article e_adverb e_noun k_noun,<s> what are the nearby gas kendragalu <e>,<s> e_adverb e_verb e_article e_adverb e_noun k_noun <e>
63_3,what are the nearby gas stations,what are the nearby anila kendragalu,e_adverb e_verb e_article e_adverb k_noun k_noun,<s> what are the nearby anila kendragalu <e>,<s> e_adverb e_verb e_article e_adverb k_noun k_noun <e>
63_4,what are the nearby gas stations,hathira gas stations yavdu,k_adjective e_noun e_noun k_adverb,<s> hathira gas stations yavdu <e>,<s> k_adjective e_noun e_noun k_adverb <e>
63_5,what are the nearby gas stations,hathira gas kendragalu yavdu,k_adjective e_noun k_noun k_adverb,<s> hathira gas kendragalu yavdu <e>,<s> k_adjective e_noun k_noun k_adverb <e>
63_6,what are the nearby gas stations,hathira anila stations yavdu,k_adjective k_noun e_noun k_adverb,<s> hathira anila stations yavdu <e>,<s> k_adjective k_noun e_noun k_adverb <e>
106_1,are there any sports grounds near me,are there any kredaa mydana near me,e_verb e_adverb e_pronoun k_noun k_noun e_preposition e_pronoun,<s> are there any kredaa mydana near me <e>,<s> e_verb e_adverb e_pronoun k_noun k_noun e_preposition e_pronoun <e>
106_2,are there any sports grounds near me,nanna hathira yavude sports ground idhya,k_pronoun k_adjective k_pronoun e_noun k_noun k_adverb,<s> nanna hathira yavude sports ground idhya <e>,<s> k_pronoun k_adjective k_pronoun e_noun k_noun k_adverb <e>
106_3,are there any sports grounds near me,are there any sports mydana near me,e_verb e_adverb e_pronoun e_noun k_noun e_preposition e_pronoun,<s> are there any sports mydana near me <e>,<s> e_verb e_adverb e_pronoun e_noun k_noun e_preposition e_pronoun <e>
106_4,are there any sports grounds near me,are there any kredaa grounds near me,e_verb e_adverb e_pronoun k_noun e_noun e_preposition e_pronoun,<s> are there any kredaa grounds near me <e>,<s> e_verb e_adverb e_pronoun k_noun e_noun e_preposition e_pronoun <e>
69_1,what are some good nearby places to visit,what are some good nearby stalagalu to visit,e_adverb e_verb e_adjective e_adjective e_adjective k_noun e_preposition e_verb,<s> what are some good nearby stalagalu to visit <e>,<s> e_adverb e_verb e_adjective e_adjective e_adjective k_noun e_preposition e_verb <e>
69_2,what are some good nearby places to visit,what are some uttama hathiradha places to visit,e_adverb e_verb e_adjective k_adjective k_adverb e_noun e_preposition e_verb,<s> what are some uttama hathiradha places to visit <e>,<s> e_adverb e_verb e_adjective k_adjective k_adverb e_noun e_preposition e_verb <e>
69_3,what are some good nearby places to visit,what are some uttama hathiradha stalagalu to visit,e_adverb e_verb e_adjective k_adjective k_adverb k_noun e_preposition e_verb,<s> what are some uttama hathiradha stalagalu to visit <e>,<s> e_adverb e_verb e_adjective k_adjective k_adverb k_noun e_preposition e_verb <e>
69_4,what are some good nearby places to visit,bheti needalu hathiradha good places yavuvu,k_verb k_verb k_adverb e_adjective e_noun k_adverb,<s> bheti needalu hathiradha good places yavuvu <e>,<s> k_verb k_verb k_adverb e_adjective e_noun k_adverb <e>
75_1,When does the nearest park open,hathiradha park yaavaaga thereyuthadhe,k_adjective e_noun k_adverb k_verb,<s> hathiradha park yaavaaga thereyuthadhe <e>,<s> k_adjective e_noun k_adverb k_verb <e>
