,,Splitting Module,,,Average Accuracy,Moving Average  Speech To Text Module,,,,,,,,
Tested Sentence ID,Tested Sentence,Actual Number of Words,Predicted Number of Words,Predicted Sentence,0.83,Actual Sentence,Similarity Predicted Sentence,Weights Predicted Sentence,Similarity Accuracy,Weights Accuracy,Similarity total,Weights Total,,
58_1,nanna next turn yenu,4,4,nanna next turn yenu,0.71,nanna next turn yenu,nanna next turn yenu,nanna next turn yenu,1,1,0.59,0.64,,0.71
58_2,what is my next saradi,5,5,what is my next saradi,0.68,what is my next saradi,what is any next yenu,how is my next saradi,0.6,0.8,,,,
58_3,what is my mundina saradi,5,5,what aagothe any stalagalu saradi,0.73,what is my mundina saradi,are is any mundina yenu,what is my mundina yenu,0.4,0.8,,,,
62_1,how is the datthane ahead,5,5,how service the yaavaaga ahead,0.78,how is the datthane ahead,what is some yaavaaga ahead,what aagothe my nearest ahead,0.4,0.2,,,,
62_2,munde traffic hegidhe,3,3,munde traffic hegidhe,0.79,munde traffic hegidhe,are traffic hegidhe,are traffic hegidhe,0.67,0.67,,,,
62_3,how is the datthane munde,5,5,how service the yaavaaga ahead,0.84,how is the datthane munde,are is my nearest munde,what is some nearest munde,0.4,0.4,,,,
63_1,what are the nearby anila stations,6,6,what does the nearby anila stations,0.84,what are the nearby anila stations,what is the nearby gas stations,how is some nearby gas kendragalu,0.67,0.17,,,,
63_2,what are the nearby gas kendragalu,6,6,what aagothe the nearby gas kendragalu,0.85,what are the nearby gas kendragalu,what is some nearby gas kendragalu,what is some nearby gas kendragalu,0.67,0.67,,,,
63_3,what are the nearby anila kendragalu,6,6,what aagothe the nearby good kendragalu,0.88,what are the nearby anila kendragalu,what is the nearby gas kendragalu,what is the nearby gas kendragalu,0.67,0.67,,,,
63_4,hathira gas stations yavdu,4,4,what gas stations visit,0.85,hathira gas stations yavdu,what iro stations yavdu,what gas stations yavdu,0.5,0.75,,,,
63_5,hathira gas kendragalu yavdu,4,4,hathira gas kendragalu open,0.85,hathira gas kendragalu yavdu,hathiradha iro stations yavdu,hathira gas kendragalu yavdu,0.25,1,,,,
63_6,hathira anila stations yavdu,4,4,hathira gas stations service,0.89,hathira anila stations yavdu,what gas plumbing yavdu,what gas kendragalu yavdu,0.25,0.25,,,,
106_1,are there any kredaa mydana near me,7,7,hathiradha there any sports plumbing near me,0.87,are there any kredaa mydana near me,are openings yaavaaga kredaa grounds to me,what does any kredaa grounds to me,0.43,0.43,,,,
106_2,nanna hathira yavude sports ground idhya,6,6,hathira next yavude sports ground idhya,0.88,nanna hathira yavude sports ground idhya,nanna next yavude plumbing ground idhya,nanna next yavude ground ground idhya,0.67,0.67,,,,
106_3,are there any sports mydana near me,7,7,are there any kredaa mydana near me,0.87,are there any sports mydana near me,are there any mundina plumbing near near,are there any kredaa mydana near me,0.57,0.86,,,,
106_4,are there any kredaa grounds near me,7,7,what there any kredaa grounds to me,0.93,are there any kredaa grounds near me,what there any mundina grounds near near,how there any mundina grounds near me,0.57,0.71,,,,
69_1,what are some good nearby stalagalu to visit,8,8,what are the good nearby stalagalu to visit,0.9,what are some good nearby stalagalu to visit,are are some good nearby mundina to visit,how are some good nearby places to visit,0.75,0.75,,,,
69_2,what are some uttama hathiradha places to visit,8,10,what are hathiradha uttama hathiradha places to visit,0.9,what are some uttama hathiradha places to visit,are are the uttama hathiradha places to visit,are are some good hathiradha places to visit,0.75,0.75,,,,
69_3,what are some uttama hathiradha stalagalu to visit,8,9,what are the uttama hathiradha stalagalu to visit,0.89,what are some uttama hathiradha stalagalu to visit,are are hathiradha uttama kolaayi stalagalu to visit,are are hathiradha good kolaayi nearby to visit,0.62,0.38,,,,
69_4,bheti needalu hathiradha good places yavuvu,6,7,bheti openings hathiradha good places yavuvu,0.95,bheti needalu hathiradha good places yavuvu,nanna near hathiradha good turn yavuvu,hathiradha near hathiradha good places yavuvu,0.5,0.67,,,,
75_1,hathiradha park yaavaaga thereyuthadhe,4,6,hathira park yaavaaga thereyuthadhe,0.84,hathiradha park yaavaaga thereyuthadhe,what park anila thereyuthadhe,hathiradha park any udhyaana,0.5,0.5,,,,
75_2,When does the nearest udhyaana open,6,6,when there the nearest open openings,0.86,when does the nearest udhyaana open,when are the iro udhyaana open,when are the iro udhyaana open,0.67,0.67,,,,
75_3,hathiradha udhyaanavu yaavaaga open aagothe,5,6,are udhyaanavu yaavaaga open aagothe,0.85,hathiradha udhyaanavu yaavaaga open aagothe,are udhyaanavu yaavaaga grounds aagothe,are udhyaanavu yaavaaga grounds aagothe,0.6,0.6,,,,
79_1,Nanna hathira iro plumbing service,5,5,hathira traffic iro ground service,0.87,nanna hathira iro plumbing service,nanna hathira iro plumbing aagothe,nanna hathira iro plumbing aagothe,0.8,0.8,,,,
79_2,Hathira iro kolaayi service,4,4,nanna iro kolaayi service,0.84,hathira iro kolaayi service,hathira iro kolaayi yavdu,hathira iro kolaayi yavdu,0.75,0.75,,,,
79_3,Hathira iro plumbing service,4,5,are iro plumbing service,0.87,hathira iro plumbing service,hathira iro plumbing service,hathira iro plumbing service,1,1,,,,
100_1,hathiradha job openings,3,3,hathira park openings,0.94,hathiradha job openings,are udhyaanavu openings,are job openings,0.33,0.67,,,,
100_2,Udhyogavakaasha near me,3,3,udhyogavakaasha needalu me,0.86,udhyogavakaasha near me,are near near,are near me,0.33,0.67,,,,
100_3,Kelasa openings near me,4,4,what openings me me,,kelasa openings near me,nanna openings near near,nanna openings near me,0.5,0.75,,,,
